Image,longitude,latitude,typology ,stories,Economic_Stratum
596916cf-0b75-46b6-85da-3c51f5e6d06a,"-75,584963","6,238098",CR/LFINF/DUC,6,2
4ee4650d-9249-4f15-b0ea-5f83ce519d49,"-75,608085","6,251838",MUR/LWAL/DNO,3,2
fde6445f-e25c-40f4-bf6e-35eb7c14a43c,"-75,568389","6,259713",MUR/LWAL/DNO,3,2
c2477873-a3a2-42b4-bb6a-357074f84f32,"-75,584992","6,210147",MUR/LWAL/DNO,3,2
38c909ef-825c-4644-8f32-482e2733a419,"-75,577093","6,184591",CR/LFINF/DUC,10,3
bc48c80a-4dfd-44a9-9304-d656f2376da0,"-75,594564","6,216974",MUR/LWAL/DNO,1,2
82e7cbf1-4bce-4e30-9cb0-c4e03969c2a6,"-75,597519","6,238209",MUR/LWAL/DNO,2,3
c0a42dd9-229c-48a2-9b05-adfa9333acc5,"-75,590453","6,202077",MUR/LWAL/DNO,2,1
d607e409-4b87-47bb-b9bc-117dcfddb2ac,"-75,604166","6,247857",MUR/LWAL/DNO,2,3
930d4fc7-f467-47a6-9d00-2791314bd7ab,"-75,602914","6,251744",CR/LFINF/DUC,8,2
cd0393f3-6129-4304-9f19-1ad3d5acf6a7,"-75,584822","6,238666",MCF/LWAL/DNO,4,2
db5c4057-2a18-4bd2-8be1-d2da0a9c7f7a,"-75,607375","6,231875",MUR/LWAL/DNO,2,2
df8e269f-6260-4ed4-be28-2b8dbfa1c3be,"-75,604171","6,258999",MUR/LWAL/DNO,2,2
4ac085ea-79d8-473d-9f1f-f68950b6e631,"-75,548045","6,235367",MUR/LWAL/DNO,2,2
95950ae1-d8e1-4a47-8397-8c59720c0810,"-75,553743","6,280159",MUR/LWAL/DNO,2,2
fdf1b0c1-2e21-492c-9f1f-42a8c643a42d,"-75,603294","6,247824",CR/LFINF/DUC,5,3
961f3ce0-59ab-4d5d-a7f2-8f99afda19db,"-75,559354","6,272594",MUR/LWAL/DNO,3,2
21dbd8db-deac-4f91-bb93-1a89fdec97ab,"-75,584353","6,245679",CR/LFINF/DNO,4,2
4a63c42a-dd8a-4292-a982-a93044363cb7,"-75,559534","6,286499",MUR/LWAL/DNO,3,2
275bc883-b788-4831-98c0-9f5207089a36,"-75,609222","6,24899",MUR/LWAL/DNO,1,2
837fb6c4-c5bd-4007-8b00-81a0e99f63ce,"-75,60583","6,242407",CR/LFINF/DNO,4,3
e6131fa5-766d-46bf-884e-f3ea64da2cb0,"-75,598777","6,249278",MUR/LWAL/DNO,2,2
7884c219-e35f-49c2-a6c5-5ba046b04ef2,"-75,5728","6,181373",CR/LFINF/DUC,12,3
d77e7fb5-cab7-47b6-9707-3580336e9503,"-75,609359","6,254677",MUR/LWAL/DNO,3,2
402a6226-0d46-4529-94ea-42c73fc87fe1,"-75,572262","6,289655",MUR/LWAL/DNO,2,2
e6e02c97-04cf-4d7d-998f-f118ce943c02,"-75,586886","6,233349",MUR/LWAL/DNO,2,2
d766dd7a-fe27-424e-a0df-914ec28d103c,"-75,584708","6,214871",MUR/LWAL/DNO,3,2
6f4e4c27-2e99-41c9-bb58-8c67dc0bae42,"-75,550825","6,237955",MUR/LWAL/DNO,3,2
5f7040c0-d6db-4d8e-a344-86d9ab3a2191,"-75,554878","6,275193",MR/LWAL/DNO,2,2
3bdb5c2c-eafa-43b4-ad6e-0d4f051684f2,"-75,576178","6,278148",MUR/LWAL/DNO,2,2
27d2420a-a0c5-45b4-a5ba-d3423f27af45,"-75,567234","6,237707",MUR/LWAL/DNO,2,3
2fae6ce8-8a45-4192-9b96-b5c567b51782,"-75,60412","6,227249",MR/LWAL/DNO,3,3
23d0704c-5567-499d-8881-67f910b74a4f,"-75,574457","6,29101",MUR/LWAL/DNO,3,2
bfa4539a-3229-4ae1-a8a2-bd1adc5a024d,"-75,590572","6,251389",CR/LFINF/DNO,5,2
b8731798-9115-45b1-863c-171b1de63b2f,"-75,602368","6,232494",MUR/LWAL/DNO,2,2
06c597ec-bb79-473d-bd35-ec0583114bab,"-75,56051163","6,260549038",MUR/LWAL/DNO,2,2
66dfe9d6-b1b2-43b6-a560-6690d3a4ad84,"-75,583527","6,238703",MR/LWAL/DNO,2,2
d03e73f6-9552-4f2a-ae1b-47e69365fff3,"-75,55608","6,272501",MUR/LWAL/DNO,3,2
d233cb2f-f0d0-4a36-9cf2-cebf8508772c,"-75,609509","6,258672",MUR/LWAL/DNO,3,2
f6882034-616a-471f-95e7-4d9319f6942a,"-75,608214","6,229708",CR/LFINF/DNO,5,2
2734322b-bd84-4d73-b44f-51887476b0cf,"-75,588788","6,207971",MUR/LWAL/DNO,2,2
91b9f0a0-dcb2-4538-921c-556177569780,"-75,55475108","6,243075392",MUR/LWAL/DNO,1,2
6d78c949-6ad6-403c-8bba-c2c3b9daeb28,"-75,598534","6,219186",MUR/LWAL/DNO,2,2
4d9b98e5-f70a-403d-b09f-ced5c851c5e2,"-75,601185","6,260004",MUR/LWAL/DNO,2,2
4fed6a99-e341-44e3-801b-2daaa6cb4970,"-75,59933376","6,279819652",CR/LWAL/DUC,32,2
6b77fe1b-66e8-4bb1-b3b8-34d1eec1c2cf,"-75,551601","6,274474",MUR/LWAL/DNO,3,2
b2eb3efd-eedc-487c-ba34-cf510d3ce62d,"-75,560624","6,22497",MR/LWAL/DNO,3,1
6948a44a-159f-4d19-b262-970a18b2da4d,"-75,616058","6,275801",MUR/LWAL/DNO,1,1
f2ac5a63-37df-4eb7-b43e-382d61a143a7,"-75,587949","6,207373",MUR/LWAL/DNO,3,2
96ec0610-e7d7-4478-a9f3-f9c7a909af24,"-75,549537","6,267249",CR/LFINF/DUC,2,1
5fd5d479-b544-4f05-b43b-eb8de1c38c71,"-75,599862","6,232144",MUR/LWAL/DNO,2,2
